title,singers,album,download_link,directors,year,film,cast
Rab Ne Mere,"['Kunal Ganjawala', 'Shreya Ghoshal']",Aryan - Unbreakable,http://www.youtube.com/watch?v=Fybj7UBtufw,['Anand Raj Anand'],2006,Aryan - Unbreakable,
Teri Te Main,"['Anand Raj Anand', 'Pamela Jain']",Aryan - Unbreakable,http://www.youtube.com/watch?v=Q_l8B2vWaVg,['Anand Raj Anand'],2006,Aryan - Unbreakable,
Ek Look Ek Look,"['Poonam Khubani', 'Anand Raj Anand']",Aryan - Unbreakable,https://www.youtube.com/watch?v=OzP5Qu-m6-g,['Anand Raj Anand'],2006,Aryan - Unbreakable,
Lamha Lamha,['Anand Raj Anand'],Aryan - Unbreakable,http://www.youtube.com/watch?v=LpmieSyi79I,['Anand Raj Anand'],2006,Aryan - Unbreakable,
Unbreakable Theme,"['Bianca Gomes', 'Ranjit Barot']",Aryan - Unbreakable,https://www.youtube.com/watch?v=Q_l8B2vWaVg,['Anand Raj Anand'],2006,Aryan - Unbreakable,
Ek Look Ek Look (Dhol Mix),"['Poonam Khubani', 'Anand Raj Anand']",Aryan - Unbreakable,https://www.youtube.com/watch?v=G5E1qjqw3-Y,['Anand Raj Anand'],2006,Aryan - Unbreakable,
Aapke Dil Mein,"['Asha Bhosle', 'Sanjay Dutt']",Asha and Friends,http://www.youtube.com/watch?v=tHYAKD3wVSo,['Shamir Tandon'],2006,,
Haan Main Tumhara Hoon,"['Asha Bhosle', 'Brett Lee']",Asha and Friends,http://www.youtube.com/watch?v=jZdQZa3gKa4,['Shamir Tandon'],2006,,
Mehbooba Dilruba,"['Asha Bhosle', 'Urmila Matondkar']",Asha and Friends,http://www.youtube.com/watch?v=H4aQzauVmc4,['Shamir Tandon'],2006,,
Come On,"['Amitabh Bachchan', 'Sonu Nigam', 'Vishal Dadlani', 'Aadesh Shrivastava', 'Ranjit Barot']",Baabul,http://www.youtube.com/watch?v=QsoR-x-O7H8&feature=plcp,['Aadesh Shrivastava'],2006,Baabul,
Keh Raha Hai,"['Sonu Nigam', 'Shreya Ghoshal']",Baabul,http://www.youtube.com/watch?v=41jz3lUUGJQ&feature=plcp,['Aadesh Shrivastava'],2006,Baabul,
Har Manzar,['Kunal Ganjawala'],Baabul,http://www.youtube.com/watch?v=DXOGfkzSVio&feature=plcp,['Aadesh Shrivastava'],2006,Baabul,
Gaa Re Mann,"['Kavita Krishnamurthy', 'Alka Yagnik', 'Sudesh Bhosle', 'Kailash Kher']",Baabul,http://www.youtube.com/watch?v=DYMnby4DscM&feature=plcp,['Aadesh Shrivastava'],2006,Baabul,
Bebasi Dard Ka Aalam,['Kunal Ganjawala'],Baabul,http://www.youtube.com/watch?v=5V0AB8cXAmA&feature=plcp,['Aadesh Shrivastava'],2006,Baabul,
Kehta Hai Baabul,['Jagjit Singh'],Baabul,http://www.youtube.com/watch?v=3d-d1REq1EU,"['Aadesh Shrivastava', 'Amitabh Bachchan']",2006,Baabul,
Baawri Piya Ki,['Sonu Nigam'],Baabul,https://www.youtube.com/watch?v=PCz6EXPfT2A,['Aadesh Shrivastava'],2006,Baabul,
Baabul - Bidaai,['Richa Sharma'],Baabul,http://www.youtube.com/watch?v=w4Ky_b54U6w,['Aadesh Shrivastava'],2006,Baabul,
Har Manzar (Remix),['Kunal Ganjawala'],Baabul,https://www.youtube.com/watch?v=ZLBz8uIdZo0,['Aadesh Shrivastava'],2006,Baabul,
Come On (Remix),"['Amitabh Bachchan', 'Sonu Nigam', 'Vishal Dadlani', 'Aadesh Shrivastava', 'Ranjit Barot']",Baabul,https://www.youtube.com/watch?v=_OrCw7wySxQ,['Aadesh Shrivastava'],2006,Baabul,
Vaada Raha,['Sonu Nigam'],Baabul,https://www.youtube.com/watch?v=egNBm-ARuas,['Aadesh Shrivastava'],2006,Baabul,
Kehta Hai Baabul (Reprise),['Amitabh Bachchan'],Baabul,https://www.youtube.com/watch?v=agkpbxtrQ3g,"['Aadesh Shrivastava', 'Amitabh Bachchan']",2006,Baabul,
Tere Bin,['Atif Aslam'],Bas Ek Pal,https://www.youtube.com/watch?v=_Z9egExLt1A,['Mithoon'],2006,Bas Ek Pal,
Hai Ishq Ye Kya Ik Khata,"['Sunidhi Chauhan', 'KK']",Bas Ek Pal,http://www.youtube.com/watch?v=EWtCKpoSG04&feature=plcp,['Pritam'],2006,Bas Ek Pal,
Zindagi Hosh Mein,"['KK', 'Zubeen Garg']",Bas Ek Pal,https://www.youtube.com/watch?v=8TFmR7KVy-o,['Vivek Philip'],2006,Bas Ek Pal,
Bas Ek Pal,"['KK', 'Dominique Cerejo']",Bas Ek Pal,http://www.youtube.com/watch?v=RkkDcaP8beI&feature=plcp,['Mithoon'],2006,Bas Ek Pal,
Ashq Bhi Muskuraye,"['Sunidhi Chauhan', 'KK']",Bas Ek Pal,http://www.youtube.com/watch?v=nggYio-BDQo&feature=plcp,['Vivek Philip'],2006,Bas Ek Pal,
Dheeme Dheeme,"['Sunidhi Chauhan', 'KK']",Bas Ek Pal,https://www.youtube.com/watch?v=jaK8ru-I_18,['Vivek Philip'],2006,Bas Ek Pal,
Bas Ek Pal - Remix,"['KK', 'Dominique Cerejo']",Bas Ek Pal,http://www.youtube.com/watch?v=iDUFDxZ_RQk&feature=plcp,['Mithoon'],2006,Bas Ek Pal,
Sawan Beeta Jaye,['Nandini Srikar'],Beete Pal,https://www.youtube.com/watch?v=P-R9nbGG6_Q,['Nandini Srikar'],2006,,
Naina Baan Padi,['Nandini Srikar'],Beete Pal,https://www.youtube.com/watch?v=0IWLvyt6zu0,['Nandini Srikar'],2006,,
Tere Bin,"['Kunal Ganjawala', 'Sunidhi Chauhan']",Bhagam Bhag,http://www.youtube.com/watch?v=o9UmKqzOITI&feature=plcp,['Pritam'],2006,Bhagam Bhag,
Signal Pyar Ka Signal,"['Remo Fernandes', ""Suzanne D'Mello""]",Bhagam Bhag,http://www.youtube.com/watch?v=EIsRH5U3Rok&feature=plcp,['Pritam'],2006,Bhagam Bhag,
Aa Kushi Se Khud Kushi Kar Le,['Sunidhi Chauhan'],Bhagam Bhag,https://www.youtube.com/watch?v=jFfi_hretpU,['Pritam'],2006,Bhagam Bhag,
Bhagam Bhag,['Neeraj Shridhar'],Bhagam Bhag,http://www.youtube.com/watch?v=Y58g6UdRwJE&feature=plcp,['Pritam'],2006,Bhagam Bhag,
Afreen,"['Sunidhi Chauhan', 'KK']",Bhagam Bhag,http://www.youtube.com/watch?v=DgOlERTJWTg&feature=plcp,['Pritam'],2006,Bhagam Bhag,
Signal Pyar Ka Signal (Remix),"['Remo Fernandes', ""Suzanne D'Mello""]",Bhagam Bhag,https://www.youtube.com/watch?v=NpTJTqnGAmI,['Pritam'],2006,Bhagam Bhag,
Tere Bin (Remix),"['Kunal Ganjawala', 'Sunidhi Chauhan']",Bhagam Bhag,https://www.youtube.com/watch?v=lhnYVQ-g7rY,['Pritam'],2006,Bhagam Bhag,
